Pression, tour moteur, température, AFR, Duréé injection, Papillon, Cible AFR 
38.49 , 1855 , 26 , 155.00 , 4770.15 , 22.00 , 105.00
38.81 , 1802 , 26 , 155.00 , 4752.66 , 22.00 , 105.00
38.18 , 1840 , 26 , 154.00 , 4765.20 , 22.00 , 105.00
39.12 , 1864 , 26 , 154.00 , 4773.12 , 22.00 , 105.00
38.49 , 1870 , 26 , 154.00 , 4775.10 , 22.00 , 105.00
39.12 , 1809 , 26 , 154.00 , 4754.97 , 22.00 , 105.00
38.81 , 1844 , 26 , 154.00 , 4766.52 , 22.00 , 105.00
38.49 , 1866 , 26 , 154.00 , 4773.78 , 22.00 , 105.00
38.81 , 1804 , 26 , 154.00 , 4753.32 , 22.00 , 105.00
38.49 , 1845 , 26 , 154.00 , 4766.85 , 22.00 , 105.00
38.49 , 1862 , 26 , 155.00 , 4772.46 , 22.00 , 105.00
38.81 , 1807 , 26 , 155.00 , 4754.31 , 22.00 , 105.00
38.18 , 1842 , 26 , 154.00 , 4765.86 , 22.00 , 105.00
39.12 , 1797 , 26 , 154.00 , 4751.01 , 22.00 , 105.00
38.49 , 1836 , 26 , 154.00 , 4763.88 , 22.00 , 105.00
38.81 , 1861 , 26 , 154.00 , 4772.13 , 22.00 , 105.00
38.49 , 1802 , 26 , 154.00 , 4752.66 , 22.00 , 105.00
38.81 , 1844 , 26 , 154.00 , 4766.52 , 22.00 , 105.00
38.49 , 1861 , 26 , 154.00 , 4772.13 , 22.00 , 105.00
38.81 , 1806 , 26 , 154.00 , 4753.98 , 22.00 , 105.00
38.49 , 1842 , 26 , 154.00 , 4765.86 , 22.00 , 105.00
38.81 , 1797 , 26 , 154.00 , 4751.01 , 22.00 , 105.00
38.18 , 1836 , 26 , 153.00 , 4763.88 , 22.00 , 105.00
39.43 , 1795 , 26 , 153.00 , 4750.35 , 22.00 , 105.00
38.49 , 1836 , 26 , 154.00 , 4763.88 , 22.00 , 105.00
38.49 , 1861 , 26 , 154.00 , 4772.13 , 22.00 , 105.00
38.18 , 1802 , 26 , 154.00 , 4752.66 , 22.00 , 105.00
38.18 , 1844 , 26 , 154.00 , 4766.52 , 22.00 , 105.00
38.49 , 1794 , 26 , 154.00 , 4750.02 , 22.00 , 105.00
38.81 , 1841 , 26 , 154.00 , 4765.53 , 22.00 , 105.00
38.49 , 1793 , 26 , 153.00 , 4749.69 , 22.00 , 105.00
38.81 , 1839 , 26 , 153.00 , 4764.87 , 22.00 , 105.00
38.18 , 1858 , 26 , 153.00 , 4771.14 , 22.00 , 105.00
38.49 , 1804 , 26 , 153.00 , 4753.32 , 22.00 , 105.00
38.49 , 1775 , 26 , 154.00 , 4743.75 , 22.00 , 105.00
