Pression, tour moteur, température, AFR, Duréé injection, Papillon, Cible AFR, Cor AFR 
70.28 , 2499 , 42 , 152.00 , 7005.11 , 40.00 , 105.00 , 0.94
69.34 , 2621 , 42 , 152.00 , 7129.35 , 40.00 , 105.00 , 0.94
68.72 , 2674 , 42 , 152.00 , 7183.32 , 40.00 , 105.00 , 0.94
68.72 , 2573 , 42 , 152.00 , 7080.47 , 40.00 , 105.00 , 0.94
67.79 , 2652 , 42 , 152.00 , 7160.92 , 40.00 , 105.00 , 0.94
68.72 , 2561 , 42 , 152.00 , 7068.25 , 40.00 , 105.00 , 0.94
67.16 , 2645 , 42 , 151.00 , 7153.79 , 39.00 , 105.00 , 0.94
66.54 , 2694 , 42 , 151.00 , 7203.69 , 38.00 , 105.00 , 0.94
65.92 , 2569 , 42 , 152.00 , 7076.40 , 38.00 , 105.00 , 0.94
64.36 , 2658 , 42 , 152.00 , 7061.94 , 37.00 , 105.00 , 0.94
61.55 , 2690 , 42 , 152.00 , 7081.49 , 35.00 , 105.00 , 0.94
59.68 , 2576 , 42 , 152.00 , 7011.84 , 33.00 , 105.00 , 0.94
56.57 , 2649 , 42 , 151.00 , 7056.44 , 32.00 , 105.00 , 0.94
54.39 , 2695 , 42 , 151.00 , 7084.54 , 32.00 , 105.00 , 0.94
53.76 , 2573 , 42 , 152.00 , 7010.00 , 31.00 , 105.00 , 0.94
53.45 , 2522 , 42 , 152.00 , 6978.84 , 30.00 , 105.00 , 0.94
52.52 , 2487 , 42 , 161.00 , 6957.46 , 30.00 , 105.00 , 0.94
50.96 , 2484 , 42 , 161.00 , 6955.62 , 29.00 , 105.00 , 0.94
49.71 , 2469 , 42 , 154.00 , 6138.11 , 28.00 , 105.00 , 0.94
49.09 , 2468 , 42 , 154.00 , 6137.70 , 27.00 , 105.00 , 0.94
46.91 , 2463 , 42 , 162.00 , 6135.66 , 27.00 , 105.00 , 0.94
46.91 , 2352 , 42 , 162.00 , 6090.45 , 27.00 , 105.00 , 0.94
47.22 , 2296 , 42 , 166.00 , 6067.64 , 27.00 , 105.00 , 0.94
48.15 , 2273 , 42 , 166.00 , 6058.27 , 27.00 , 105.00 , 0.94
48.47 , 2197 , 42 , 169.00 , 6027.31 , 27.00 , 105.00 , 0.94
49.09 , 2268 , 42 , 169.00 , 6056.23 , 27.00 , 105.00 , 0.94
49.40 , 2195 , 42 , 170.00 , 6026.50 , 27.00 , 105.00 , 0.94
50.34 , 2081 , 42 , 170.00 , 6709.39 , 28.00 , 105.00 , 0.94
52.83 , 2105 , 42 , 156.00 , 6724.06 , 29.00 , 105.00 , 0.94
54.39 , 2120 , 42 , 156.00 , 6733.22 , 29.00 , 105.00 , 0.94
55.94 , 2123 , 42 , 153.00 , 6735.05 , 31.00 , 105.00 , 0.94
59.06 , 2041 , 42 , 153.00 , 6684.95 , 31.00 , 105.00 , 0.94
60.00 , 2087 , 42 , 152.00 , 6713.06 , 32.00 , 105.00 , 0.94
61.55 , 2110 , 42 , 152.00 , 6727.11 , 32.00 , 105.00 , 0.94
61.24 , 2213 , 42 , 152.00 , 6790.04 , 33.00 , 105.00 , 0.94
62.18 , 2173 , 42 , 152.00 , 6765.60 , 34.00 , 105.00 , 0.94
63.11 , 2148 , 42 , 152.00 , 6750.33 , 34.00 , 105.00 , 0.94
62.80 , 2240 , 42 , 152.00 , 6806.54 , 34.00 , 105.00 , 0.94
62.80 , 2286 , 42 , 152.00 , 6834.65 , 34.00 , 105.00 , 0.94
65.29 , 2168 , 42 , 152.00 , 6668.05 , 35.00 , 105.00 , 0.94
63.73 , 2348 , 42 , 152.00 , 6872.53 , 35.00 , 105.00 , 0.94
65.29 , 2196 , 42 , 152.00 , 6696.56 , 35.00 , 105.00 , 0.94
64.67 , 2368 , 42 , 152.00 , 6884.75 , 35.00 , 105.00 , 0.94
65.29 , 2307 , 42 , 152.00 , 6809.60 , 36.00 , 105.00 , 0.94
67.16 , 2269 , 42 , 152.00 , 6770.90 , 37.00 , 105.00 , 0.94
67.79 , 2414 , 42 , 152.00 , 6918.56 , 38.00 , 105.00 , 0.94
68.72 , 2322 , 42 , 153.00 , 6824.87 , 38.00 , 105.00 , 0.94
69.34 , 2397 , 42 , 153.00 , 6901.25 , 39.00 , 105.00 , 0.94
70.59 , 2425 , 42 , 153.00 , 6929.76 , 40.00 , 105.00 , 0.94
71.21 , 2447 , 42 , 153.00 , 6952.16 , 40.00 , 105.00 , 0.94
71.84 , 2453 , 42 , 153.00 , 6958.27 , 41.00 , 105.00 , 0.94
72.46 , 2463 , 42 , 153.00 , 6968.45 , 41.00 , 105.00 , 0.94
71.53 , 2591 , 42 , 153.00 , 7098.80 , 42.00 , 105.00 , 0.94
72.77 , 2528 , 42 , 153.00 , 7034.65 , 43.00 , 105.00 , 0.94
73.08 , 2491 , 42 , 154.00 , 6996.97 , 43.00 , 105.00 , 0.94
73.08 , 2616 , 42 , 154.00 , 7124.26 , 43.00 , 105.00 , 0.94
73.40 , 2538 , 42 , 154.00 , 7044.83 , 44.00 , 105.00 , 0.94
73.71 , 2637 , 42 , 154.00 , 7145.64 , 44.00 , 105.00 , 0.94
73.71 , 2685 , 42 , 153.00 , 7194.52 , 44.00 , 105.00 , 0.94
75.26 , 2577 , 42 , 153.00 , 7084.54 , 45.00 , 105.00 , 0.94
74.95 , 2649 , 42 , 153.00 , 7157.87 , 45.00 , 105.00 , 0.94
74.64 , 2701 , 42 , 153.00 , 7214.69 , 45.00 , 105.00 , 0.94
74.02 , 2718 , 42 , 154.00 , 7297.78 , 45.00 , 105.00 , 0.94
74.64 , 2732 , 42 , 154.00 , 7366.22 , 45.00 , 105.00 , 0.94
74.33 , 2730 , 42 , 153.00 , 7356.44 , 45.00 , 105.00 , 0.94
74.64 , 2737 , 42 , 153.00 , 7390.66 , 45.00 , 105.00 , 0.94
74.33 , 2733 , 42 , 153.00 , 7371.10 , 45.00 , 105.00 , 0.94
74.95 , 2739 , 42 , 153.00 , 7400.43 , 45.00 , 105.00 , 0.94
74.95 , 2733 , 42 , 154.00 , 7371.10 , 45.00 , 105.00 , 0.94
74.33 , 2900 , 42 , 154.00 , 8187.40 , 45.00 , 105.00 , 0.94
74.95 , 2659 , 42 , 153.00 , 7168.05 , 45.00 , 105.00 , 0.94
74.33 , 2864 , 42 , 153.00 , 8011.43 , 45.00 , 105.00 , 0.94
74.33 , 2794 , 42 , 153.00 , 7669.27 , 45.00 , 105.00 , 0.94
74.02 , 2771 , 42 , 153.00 , 7556.85 , 44.00 , 105.00 , 0.94
73.71 , 2746 , 42 , 152.00 , 7434.65 , 44.00 , 105.00 , 0.94
73.71 , 2748 , 42 , 152.00 , 7444.42 , 43.00 , 105.00 , 0.94
71.53 , 2893 , 42 , 153.00 , 8153.18 , 42.00 , 105.00 , 0.94
69.66 , 2814 , 42 , 153.00 , 7767.03 , 40.00 , 105.00 , 0.94
68.10 , 2765 , 42 , 153.00 , 7527.52 , 40.00 , 105.00 , 0.94
66.85 , 2917 , 42 , 153.00 , 8270.50 , 39.00 , 105.00 , 0.94
66.54 , 2666 , 42 , 151.00 , 7175.18 , 38.00 , 105.00 , 0.94
62.80 , 2859 , 42 , 151.00 , 7800.03 , 36.00 , 105.00 , 0.94
61.55 , 2787 , 42 , 152.00 , 7477.42 , 35.00 , 105.00 , 0.94
58.13 , 2617 , 42 , 152.00 , 7036.89 , 33.00 , 105.00 , 0.94
55.63 , 2670 , 42 , 151.00 , 7069.27 , 31.00 , 105.00 , 0.94
54.07 , 2708 , 42 , 151.00 , 7123.45 , 31.00 , 105.00 , 0.94
52.52 , 2720 , 42 , 152.00 , 7177.21 , 31.00 , 105.00 , 0.94
51.58 , 2593 , 42 , 152.00 , 7022.22 , 30.00 , 105.00 , 0.94
51.58 , 2522 , 42 , 152.00 , 6978.84 , 29.00 , 105.00 , 0.94
50.34 , 2628 , 42 , 152.00 , 7043.61 , 29.00 , 105.00 , 0.94
49.40 , 2542 , 42 , 161.00 , 6167.84 , 28.00 , 105.00 , 0.94
50.65 , 2385 , 42 , 161.00 , 6895.13 , 28.00 , 105.00 , 0.94
48.78 , 2546 , 42 , 167.00 , 6169.47 , 28.00 , 105.00 , 0.94
49.09 , 2388 , 42 , 167.00 , 6105.11 , 28.00 , 105.00 , 0.94
48.15 , 2424 , 42 , 169.00 , 6119.78 , 28.00 , 105.00 , 0.94
49.09 , 2335 , 42 , 169.00 , 6083.52 , 28.00 , 105.00 , 0.94
50.02 , 2287 , 42 , 170.00 , 6835.26 , 28.00 , 105.00 , 0.94
51.58 , 2268 , 42 , 170.00 , 6823.65 , 28.00 , 105.00 , 0.94
50.96 , 2299 , 42 , 169.00 , 6842.59 , 28.00 , 105.00 , 0.94
51.89 , 2275 , 42 , 169.00 , 6827.92 , 28.00 , 105.00 , 0.94
53.45 , 2200 , 42 , 170.00 , 6782.10 , 30.00 , 105.00 , 0.94
55.94 , 2168 , 42 , 170.00 , 6762.55 , 31.00 , 105.00 , 0.94
57.19 , 2241 , 42 , 157.00 , 6807.15 , 31.00 , 105.00 , 0.94
60.00 , 2096 , 42 , 157.00 , 6718.56 , 32.00 , 105.00 , 0.94
